                                                                              30 Sep 2017 19:26:05
 AGI Educational Alliance Partner
Place-Ames-Sensor-Ames_Ground_Station-To-Satellite-CySat1:  Access Summary Report


Ames_Ground_Station-To-CySat1
-----------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     203     7 Dec 2017 00:41:56.765     7 Dec 2017 00:45:15.703           198.938
                     204     7 Dec 2017 02:18:22.693     7 Dec 2017 02:21:50.765           208.072
                     205     7 Dec 2017 18:58:12.822     7 Dec 2017 19:01:49.697           216.875
                     206     7 Dec 2017 20:34:56.997     7 Dec 2017 20:38:09.483           192.486
                     207     8 Dec 2017 01:25:57.626     8 Dec 2017 01:30:11.867           254.241
                     208     8 Dec 2017 19:42:11.445     8 Dec 2017 19:46:24.698           253.252
                     209     9 Dec 2017 00:34:10.756     9 Dec 2017 00:37:29.887           199.131
                     210     9 Dec 2017 02:10:36.864     9 Dec 2017 02:14:04.665           207.801
                     211     9 Dec 2017 18:50:26.746     9 Dec 2017 18:54:03.852           217.105
                     212     9 Dec 2017 20:27:11.189     9 Dec 2017 20:30:23.470           192.281
                     213    10 Dec 2017 01:18:11.676    10 Dec 2017 01:22:25.944           254.268
                     214    10 Dec 2017 19:34:25.531    10 Dec 2017 19:38:38.742           253.212
                     215    11 Dec 2017 00:26:24.748    11 Dec 2017 00:29:44.071           199.323
                     216    11 Dec 2017 02:02:51.036    11 Dec 2017 02:06:18.570           207.535
                     217    11 Dec 2017 18:42:40.671    11 Dec 2017 18:46:18.006           217.335
                     218    11 Dec 2017 20:19:25.381    11 Dec 2017 20:22:37.456           192.075
                     219    12 Dec 2017 01:10:25.725    12 Dec 2017 01:14:40.021           254.295
                     220    12 Dec 2017 19:26:39.616    12 Dec 2017 19:30:52.787           253.171
                     221    13 Dec 2017 00:18:38.739    13 Dec 2017 00:21:58.254           199.515
                     222    13 Dec 2017 01:55:05.207    13 Dec 2017 01:58:32.472           207.265
                     223    13 Dec 2017 18:34:54.596    13 Dec 2017 18:38:32.159           217.563
                     224    13 Dec 2017 20:11:39.573    13 Dec 2017 20:14:51.442           191.869
                     225    14 Dec 2017 01:02:39.775    14 Dec 2017 01:06:54.097           254.322
                     226    14 Dec 2017 19:18:53.702    14 Dec 2017 19:23:06.831           253.129
                     227    15 Dec 2017 00:10:52.731    15 Dec 2017 00:14:12.437           199.706
                     228    15 Dec 2017 01:47:19.379    15 Dec 2017 01:50:46.377           206.997
                     229    15 Dec 2017 18:27:08.521    15 Dec 2017 18:30:46.312           217.791
                     230    15 Dec 2017 20:03:53.765    15 Dec 2017 20:07:05.427           191.662
                     231    16 Dec 2017 00:54:53.825    16 Dec 2017 00:59:08.173           254.348
                     232    16 Dec 2017 19:11:07.788    16 Dec 2017 19:15:20.875           253.087
                     233    17 Dec 2017 00:03:06.723    17 Dec 2017 00:06:26.620           199.896
                     234    17 Dec 2017 01:39:33.552    17 Dec 2017 01:43:00.278           206.726
                     235    17 Dec 2017 18:19:22.447    17 Dec 2017 18:23:00.465           218.018
                     236    17 Dec 2017 19:56:07.958    17 Dec 2017 19:59:19.413           191.455
                     237    18 Dec 2017 00:47:07.875    18 Dec 2017 00:51:22.249           254.374
                     238    18 Dec 2017 19:03:21.874    18 Dec 2017 19:07:34.919           253.045
                     239    18 Dec 2017 23:55:20.716    18 Dec 2017 23:58:40.802           200.086
                     240    19 Dec 2017 01:31:47.725    19 Dec 2017 01:35:14.183           206.458
                     241    19 Dec 2017 18:11:36.374    19 Dec 2017 18:15:14.618           218.243
                     242    19 Dec 2017 19:48:22.151    19 Dec 2017 19:51:33.398           191.247
                     243    20 Dec 2017 00:39:21.926    20 Dec 2017 00:43:36.325           254.399
                     244    20 Dec 2017 18:55:35.961    20 Dec 2017 18:59:48.963           253.002
                     245    20 Dec 2017 23:47:34.709    20 Dec 2017 23:50:54.984           200.276
                     246    21 Dec 2017 01:24:01.899    21 Dec 2017 01:27:28.084           206.186
                     247    21 Dec 2017 18:03:50.302    21 Dec 2017 18:07:28.770           218.468
                     248    21 Dec 2017 19:40:36.345    21 Dec 2017 19:43:47.382           191.036
                     249    22 Dec 2017 00:31:35.977    22 Dec 2017 00:35:50.401           254.424
                     250    22 Dec 2017 18:47:50.048    22 Dec 2017 18:52:03.007           252.960
                     251    22 Dec 2017 23:39:48.701    22 Dec 2017 23:43:09.167           200.466
                     252    23 Dec 2017 01:16:16.073    23 Dec 2017 01:19:41.985           205.912
                     253    23 Dec 2017 17:56:04.230    23 Dec 2017 17:59:42.921           218.691
                     254    23 Dec 2017 19:32:50.539    23 Dec 2017 19:36:01.369           190.830
                     255    24 Dec 2017 00:23:50.028    24 Dec 2017 00:28:04.477           254.449
                     256    24 Dec 2017 18:40:04.135    24 Dec 2017 18:44:17.051           252.916
                     257    24 Dec 2017 23:32:02.694    24 Dec 2017 23:35:23.349           200.655
                     258    25 Dec 2017 01:08:30.248    25 Dec 2017 01:11:55.885           205.636
                     259    25 Dec 2017 17:48:18.159    25 Dec 2017 17:51:57.072           218.914
                     260    25 Dec 2017 19:25:04.733    25 Dec 2017 19:28:15.354           190.621
                     261    26 Dec 2017 00:16:04.079    26 Dec 2017 00:20:18.552           254.473
                     262    26 Dec 2017 18:32:18.222    26 Dec 2017 18:36:31.095           252.873
                     263    26 Dec 2017 23:24:16.686    26 Dec 2017 23:27:37.531           200.845
                     264    27 Dec 2017 01:00:44.424    27 Dec 2017 01:04:09.784           205.360
                     265    27 Dec 2017 17:40:32.087    27 Dec 2017 17:44:11.223           219.136
                     266    27 Dec 2017 19:17:18.927    27 Dec 2017 19:20:29.339           190.412
                     267    28 Dec 2017 00:08:18.129    28 Dec 2017 00:12:32.627           254.497
                     268    28 Dec 2017 18:24:32.309    28 Dec 2017 18:28:45.138           252.829
                     269    28 Dec 2017 23:16:30.679    28 Dec 2017 23:19:51.712           201.033
                     270    29 Dec 2017 00:52:58.600    29 Dec 2017 00:56:23.682           205.082
                     271    29 Dec 2017 17:32:46.016    29 Dec 2017 17:36:25.373           219.357
                     272    29 Dec 2017 19:09:33.119    29 Dec 2017 19:12:43.324           190.204
                     273    30 Dec 2017 00:00:32.180    30 Dec 2017 00:04:46.701           254.521
                     274    30 Dec 2017 18:16:46.399    30 Dec 2017 18:20:59.181           252.782
                     275    30 Dec 2017 23:08:44.672    30 Dec 2017 23:12:05.893           201.221
                     276    31 Dec 2017 00:45:12.776    31 Dec 2017 00:48:37.580           204.804
                     277    31 Dec 2017 17:24:59.946    31 Dec 2017 17:28:39.523           219.577
                     278    31 Dec 2017 19:01:47.318    31 Dec 2017 19:04:57.308           189.990
                     279    31 Dec 2017 23:52:46.232    31 Dec 2017 23:57:00.776           254.544
                     280     1 Jan 2018 18:09:00.487     1 Jan 2018 18:13:13.224           252.737
                     281     1 Jan 2018 23:00:58.665     1 Jan 2018 23:04:20.074           201.408
                     282     2 Jan 2018 00:37:26.952     2 Jan 2018 00:40:51.478           204.525
                     283     2 Jan 2018 17:17:13.877     2 Jan 2018 17:20:53.673           219.797
                     284     2 Jan 2018 18:54:01.513     2 Jan 2018 18:57:11.293           189.780
                     285     2 Jan 2018 23:45:00.284     2 Jan 2018 23:49:14.850           254.567
                     286     3 Jan 2018 18:01:14.576     3 Jan 2018 18:05:27.268           252.692
                     287     3 Jan 2018 22:53:12.659     3 Jan 2018 22:56:34.256           201.597
                     288     4 Jan 2018 00:29:41.130     4 Jan 2018 00:33:05.373           204.243
                     289     4 Jan 2018 17:09:27.808     4 Jan 2018 17:13:07.823           220.015
                     290     4 Jan 2018 18:46:15.707     4 Jan 2018 18:49:25.278           189.571
                     291     4 Jan 2018 23:37:14.335     4 Jan 2018 23:41:28.925           254.589
                     292     5 Jan 2018 17:53:28.665     5 Jan 2018 17:57:41.311           252.647
                     293     5 Jan 2018 22:45:26.653     5 Jan 2018 22:48:48.437           201.784
                     294     6 Jan 2018 00:21:55.309     6 Jan 2018 00:25:19.270           203.961
                     295     6 Jan 2018 17:01:41.740     6 Jan 2018 17:05:21.971           220.231
                     296     6 Jan 2018 18:38:29.902     6 Jan 2018 18:41:39.263           189.361
                     297     6 Jan 2018 23:29:28.387     6 Jan 2018 23:33:42.998           254.611
                     298     7 Jan 2018 17:45:42.753     7 Jan 2018 17:49:55.354           252.601
                     299     7 Jan 2018 22:37:40.646     7 Jan 2018 22:41:02.619           201.973
                     300     8 Jan 2018 00:14:09.487     8 Jan 2018 00:17:33.165           203.678
                     301     8 Jan 2018 16:53:55.672     8 Jan 2018 16:57:36.120           220.448
                     302     8 Jan 2018 18:30:44.100     8 Jan 2018 18:33:53.247           189.148
                     303     8 Jan 2018 21:46:55.475     8 Jan 2018 21:46:57.464             1.989
                     304     8 Jan 2018 23:21:42.439     8 Jan 2018 23:25:57.072           254.633
                     305     9 Jan 2018 17:37:56.842     9 Jan 2018 17:42:09.397           252.555
